DispX,DispY,DispZ,flexF
200
5
-0.2868,0.45711,-0.8419
-0.42447,-0.9011,-0.088566
-0.90171,0.26452,0.34198
-0.88755,0.40996,0.21021
-0.74197,0.082184,0.66538
-0.17697,-0.98253,-0.057563
-0.22009,0.97351,-0.061992
-0.57447,-0.10574,0.81167
-0.33069,-0.52494,0.78427
-0.12207,-0.43739,-0.89095
-0.97283,0.10082,-0.2084
-0.16005,-0.73098,0.66337
-0.24963,-0.80271,0.54161
-0.84393,0.43408,0.31521
-0.28882,-0.94104,0.17613
-0.42427,-0.7416,0.51963
-0.708,0.68902,0.15491
-0.71764,0.6058,0.34351
-0.70371,-0.50165,-0.50314
-0.28264,0.60172,0.74703
-0.0093772,-0.33982,0.94044
-0.91113,0.41026,0.039207
-0.63671,0.55385,-0.53651
-0.19361,0.63191,0.75047
-0.24696,0.5786,0.77733
-0.68763,-0.64451,-0.33432
-0.97115,-0.17358,-0.16352
-0.31922,0.36477,-0.87467
-0.6785,0.66189,-0.31864
-0.98907,0.0074349,0.14724
-0.50585,0.81664,0.27787
-0.41971,-0.086832,0.9035
-0.38247,-0.91408,-0.13481
-0.24534,0.96775,-0.057225
-0.60175,0.78459,-0.14937
-0.99384,-0.11059,-0.0077486
-0.070117,-0.70318,-0.70754
-0.47187,0.87618,-0.098273
-0.44514,0.16527,0.88008
-0.58964,-0.78038,-0.20813
-0.36373,0.11756,0.92405
-0.029656,-0.96099,0.275
-0.64539,0.03499,0.76305
-0.65165,0.63359,-0.41702
-0.052206,-0.036749,-0.99796
-0.23423,0.58978,-0.77285
-0.68238,0.27843,-0.6759
-0.85358,0.40101,-0.33255
-0.65638,-0.68135,-0.32392
-0.31767,0.72203,0.61463
-0.2937,-0.35252,-0.88852
-0.64307,-0.51773,0.56428
-0.35292,-0.72983,0.58549
-0.29664,0.61784,0.7282
-0.38975,0.046948,0.91972
-0.34279,0.77667,0.52847
-0.65981,0.5675,-0.49253
-0.78317,0.613,-0.10431
